route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
"0001","1","C1","Cesson-Sévigné (Cesson - Viasilva) <> Rennes  <> Chantepie (Rosa Parks)","CHRONOSTAR","3","","95C11E","1A171B","1001"
"0002","1","C2","Saint-Grégoire (Champ Daguet) <> Rennes (Haut Sancé)","CHRONOSTAR","3","","008BD2","FFFFFF","1002"
"0003","1","C3","Rennes (Patton) <> Rennes (Henri Fréville)","CHRONOSTAR","3","","FFCC00","FFFFFF","1003"
"0004","1","C4","Rennes (ZA Saint-Sulpice) <> Saint-Grégoire (Grand Quartier)","CHRONOSTAR","3","","6F2282","FFFFFF","1004"
"0005","1","C5","Rennes (Saint-Laurent) <> Rennes (Lycée Bréquigny)","CHRONOSTAR","3","","F39200","1A171B","1005"
"0006","1","C6","Cesson-Sévigné (Rigourdière) <> Saint-Jacques-de-la-Lande (Aéroport)","CHRONOSTAR","3","","61C3D9","1A171B","1006"
"0007","1","C7","Saint-Jacques-de-la-Lande (Saint-Jacques - Gaîté) <> Bruz (Bruz Centre)","CHRONOSTAR","3","","D39D2F","1A171B","1007"
"0010","1","10","Rennes (Beaulieu Chimie) <> Rennes (Porte de Cleunay)","Urbaine","3","","EF859D","1A171B","1010"
"0011","1","11","Rennes (La Poterie) <> Vezin-le-Coquet (ZI Ouest)","Urbaine","3","","004F9E","FFFFFF","1011"
"0012","1","12","Rennes (Villejean-Université) <> Saint-Grégoire <> Rennes (La Poterie)","Urbaine","3","","BA65A5","FFFFFF","1012"
"0013","1","13","Chantepie (Cucé) <> Rennes <> Saint-Jacques-de-la-Lande <> Bruz (Porte de Ker-Lann)","Urbaine","3","","6F2282","FFFFFF","1013"
"0014","1","14","Cesson-Sévigné (Monniais) <> Rennes (Roazhon Park)","Urbaine","3","","A96F23","FFFFFF","1014"
"0032","1","32","Saint-Grégoire (Edonia) <> Rennes (Alma Sud)","Inter-quartiers","3","","61C3D9","1A171B","1032"
"0034","1","34","Rennes (ZA Saint-Sulpice) <> Cesson-Sévigné <> Chantepie (Rosa Parks)","Inter-quartiers","3","","F39200","1A171B","1034"
"0037","1","37","Rennes (Henri Fréville) <> Saint-Jacques-de-la-Lande (Morinais)","Inter-quartiers","3","","E4003A","FFFFFF","1037"
"0038","1","38","Cesson-Sévigné (Monniais) <> Cesson-Sévigné (Ménouriais)","Inter-quartiers","3","","008BD2","FFFFFF","1038"
"0039","1","39","Saint-Grégoire (Maison Blanche) <> Saint-Grégoire (Paul-Emile Victor)","Inter-quartiers","3","","BA65A5","FFFFFF","1039"
"0047","1","C7ex","Saint-Jacques-de-la-Lande (Saint-Jacques - Gaîté) <> Bruz (Ker Lann / Bruz Centre)","CHRONOSTAR","3","","FFDD00","3D3C3F","1047"
